ID,J0,J7,J90,Traitement
23,0.0000026,0.00000902,0.00000103,0
25,0.0000568,0.0000419,0.00000879,0
38,0.00000437,0.00000591,0.0000015,0
6,0.000557,0.000738,0.000086,0
7,0.0000283,0.000021,0.0000376,0
8,0.000101,0.000133,0.0000621,0
10,0.0000126,0.00000635,0.00000293,1
11,0.00000318,0.00000844,0.0000214,1
12,0.0000208,0.000000688,0.0000164,1
13,0.00000249,0.00000119,0.00000173,1
14,0.00000278,0.00000257,0.00000303,1
15,0.0000023,0.000000244,0.00000346,1
17,0.0000101,0.0000276,0.00000891,1
18,0.0000141,0.00000179,0.00000354,1
19,0.00000416,0.00000525,0.00000162,1
1,0.0000257,0.0000209,0.0000152,1
20,0.000000131,0.000000111,0.000000171,1
21,0.0000396,0.0000137,0.000875,1
22,0.0000101,0.000000176,0.00000131,1
2,0.00000219,0.00000138,0.00000253,1
3,0.0000754,0.000334,0.0000516,1
4,0.00000737,0.000000412,0.00000926,1
5,0.0000256,0.000135,0.00000471,1
9,0.0000012,0.000000562,0.000000925,1
